,player,team,n,actual,value,ci_low,ci_high
1,Vinícius José Paixão de Oliveira Júnior,Brazil,39,1.564102564102564,0.4620615322223634,-0.2128035671302509,1.066580662819551
2,Alexis Mac Allister,Argentina,51,1.607843137254902,0.3488416565301844,0.05649229399613878,0.8264913709888257
3,Olivier Giroud,France,50,2.36,0.3483022895779195,0.24146474934331333,0.5314114545324414
4,Adrien Rabiot,France,42,1.4285714285714286,0.2856546129588969,-0.08855762705514322,1.075143634999133
5,Cristiano Ronaldo dos Santos Aveiro,Portugal,30,1.8333333333333333,0.2757990416378669,-0.13850435516920429,0.8661755788869087
6,Harry Kane,England,38,1.9736842105263157,0.2511466029891456,-0.4395958650108564,0.9064663803224808
7,Lautaro Javier Martínez,Argentina,26,2.076923076923077,0.2178390878393634,-0.4051284838493057,1.2961059221118738
8,Timothy Weah,United States,31,1.4516129032258065,0.16458603183214185,-0.23570662881140617,0.7188374081078236
9,Richarlison de Andrade,Brazil,45,2.111111111111111,0.1351705704145142,-0.3169479226561311,0.34875379667166495
10,Dušan Tadić,Serbia,25,1.2,0.11786357291240604,-0.3688167976112206,0.8975176477540469
11,Henry Josué Martín Mex,Mexico,25,1.96,0.11078647609177363,-0.25949424115192227,0.28503622538292467
12,Selim Amallah,Morocco,26,1.5,0.08059373570924196,-0.26140680945012323,0.5006154992759031
13,Julián Álvarez,Argentina,53,1.8113207547169812,0.05818020795767861,-0.2488707737666348,0.2881130720564773
14,Carlos Henrique Casimiro,Brazil,33,1.303030303030303,0.04954984267548336,-0.26456597432715534,0.3973603984278229
15,Rodrygo Silva de Goes,Brazil,31,1.6774193548387097,0.04574108607244846,-0.4063023090082703,0.5184820996500733
16,Lucas Tolentino Coelho de Lima,Brazil,41,1.3170731707317074,0.031115828338034633,-0.0834818015509826,0.1096723779887568
17,Éder Gabriel Militão,Brazil,28,1.3214285714285714,0.01740309551020372,-0.324019702508779,0.3588258935291864
18,Jamal Musiala,Germany,47,1.3404255319148937,0.012247759917335744,-0.10831924579544504,0.25103599558805323
19,Achraf Hakimi Mouh,Morocco,32,0.96875,-0.0004915292743790656,-0.32232414258388636,0.6508491122183369
20,Pablo Martín Páez Gavira,Spain,27,0.9259259259259259,-0.001720440830114611,-0.26741315856002257,0.2180750535644642
21,Mehdi Taremi,Iran,27,1.6666666666666667,-0.0048796014941215595,-0.06134009032143202,0.325567442237878
22,Mateo Kovačić,Croatia,50,0.84,-0.021003461244667183,-0.1611757900781886,0.129946935202003
23,Boulaye Dia,Senegal,29,2.0,-0.03616533514296166,-0.506490531954454,0.21303074704232466
24,Kai Havertz,Germany,26,1.7307692307692308,-0.03687626547818898,-0.041543429256028906,-0.035156784086353275
25,Gue-Sung Cho,South Korea,35,1.7714285714285714,-0.038525298817842155,-0.3255714851484758,0.2827024463395354
26,Aurélien Djani Tchouaméni,France,42,1.1428571428571428,-0.04377510004226821,-0.28092111255414065,0.24853198991673192
27,Alphonso Davies,Canada,28,0.9642857142857143,-0.044528929292112225,-0.19092120207535135,0.4363021164866836
28,Pedro González López,Spain,25,0.64,-0.06452501146746664,-0.14746721072596886,0.08051718599270644
29,Ismaïla Sarr,Senegal,36,1.25,-0.06681766198211968,-0.3477095274225045,0.18450663867506675
30,Sofiane Boufal,Morocco,31,0.7741935483870968,-0.07075122886904245,-0.3334058720864375,0.2926665284465513
31,Marcelo Brozović,Croatia,27,0.6296296296296297,-0.07863422405668198,-0.24744487954419428,0.10157036701626303
32,Enzo Fernandez,Argentina,33,1.0303030303030303,-0.08542533619289189,-0.7480534757296287,0.6213181956120895
33,Youssef En-Nesyri,Morocco,38,1.6578947368421053,-0.1071612705503344,-0.4293298241985525,0.25498195715076466
34,Serge Gnabry,Germany,46,0.9782608695652174,-0.10869709000927644,-0.24095521842620277,0.20209212891048114
35,David Raum,Germany,30,0.26666666666666666,-0.11447450743582657,-0.23566532717966066,0.3100137717098199
36,Cody Mathès Gakpo,Netherlands,28,1.0357142857142858,-0.12909313600323785,-0.5474923063171392,0.3058706548336576
37,Christian Pulisic,United States,29,1.3103448275862069,-0.13051328736198142,-0.5573279821928072,0.07637995353611958
