,player,team,matches,actions,actual,expected,gravity,ci_low,ci_high
1,Memphis Depay,Netherlands,5,336,1.2291666666666667,0.6945855976748946,0.5345810689917722,0.47786306832009756,0.5907859701021402
2,Joel Nathaniel Campbell Samuels,Costa Rica,3,302,0.9867549668874173,0.47936601864609324,0.507388948241324,0.28134212031283623,0.6063130111192262
3,Lionel Andrés Messi Cuccittini,Argentina,7,960,1.1041666666666667,0.6833630495730548,0.42080361709361197,0.3188910530224358,0.5430767538715586
4,Cody Mathès Gakpo,Netherlands,5,314,1.127388535031847,0.7112619504501129,0.4161265845817343,0.2948504239975475,0.532854889144014
5,Sofiane Boufal,Morocco,7,312,0.967948717948718,0.5904639039032392,0.3774848140454787,0.20502236564735313,0.5584678944571481
6,Marco Asensio Willemsen,Spain,4,323,1.1207430340557276,0.7707129234560429,0.3500301105996847,0.28861021605868,0.4539320988648844
7,Moisés Isaac Caicedo Corozo,Ecuador,3,324,0.8518518518518519,0.5070971496782865,0.3447547021735654,0.2382313347997328,0.48918305836139914
8,Jamal Musiala,Germany,3,361,1.1440443213296398,0.8376569368939877,0.3063873844356521,0.22749324633034412,0.5776585451971996
9,Hakim Ziyech,Morocco,7,529,0.8431001890359168,0.5612562572876085,0.2818439317483083,0.1602751518801084,0.4779485995566444
10,Christian Pulisic,United States,4,337,0.9673590504451038,0.6933853284235192,0.2739737220215847,0.1498701105415324,0.34410073536486263
11,Neymar da Silva Santos Junior,Brazil,3,389,0.910025706940874,0.6471185952650451,0.262907111675829,0.173930835679259,0.3543061801275002
12,Jude Bellingham,England,5,613,0.8368678629690048,0.5828959313253488,0.25397193164365617,0.10508663407394389,0.47638311823064267
13,Piotr Zieliński,Poland,4,309,0.7864077669902912,0.5506478989980221,0.23575986799226906,0.07962258268796983,0.5482996787039586
14,Azzedine Ounahi,Morocco,7,617,0.747163695299838,0.5311360877459768,0.21602760755386116,0.1069944680742933,0.3516308413664317
15,Andrej Kramarić,Croatia,7,377,0.9336870026525199,0.7214809022636539,0.21220610038886603,0.14187709596600998,0.2981524255370513
16,Alexis Mac Allister,Argentina,6,690,0.8521739130434782,0.6462931496282791,0.2058807634151992,0.1711629270624588,0.2448205798398114
17,Kylian Mbappé Lottin,France,7,581,1.0154905335628228,0.8125590749844731,0.20293145857834968,0.13567702132926904,0.2848569460588014
18,Frenkie de Jong,Netherlands,5,814,0.7125307125307125,0.514869220515077,0.19766149201563557,0.16163908035580218,0.2523319858887421
19,Akram Hassan Afif,Qatar,3,345,0.6985507246376812,0.522914376254216,0.17563634838346515,0.15467045087985182,0.1915013462889754
20,Antoine Griezmann,France,7,654,0.7951070336391437,0.6216605649223914,0.17344646871675226,0.08392799379414408,0.3027849950870309
21,Sergio Busquets i Burgos,Spain,4,636,0.7216981132075472,0.5564669587106224,0.16523115449692471,0.08659721131363413,0.28043902474221094
22,Rodrigo Bentancur Colmán,Uruguay,3,332,0.6626506024096386,0.5086331048359446,0.15401749757369387,0.0011590034789177265,0.3581626754550452
23,Thomas Teye Partey,Ghana,3,415,0.636144578313253,0.4923852059939332,0.1437593723193198,0.016895960972246323,0.286227605026504
24,Mateo Kovačić,Croatia,7,1029,0.67444120505345,0.5401853977839178,0.13425580726953212,0.062382275514508444,0.22504563841824543
25,João Félix Sequeira,Portugal,4,321,0.8317757009345794,0.6987470979555679,0.13302860297901145,0.006991497542604555,0.21572922888089066
26,Aaron Mooy,Australia,4,453,0.6026490066225165,0.4761040226160546,0.12654498400646194,-0.005027386882292801,0.32426699992768454
27,Pablo Martín Páez Gavira,Spain,4,376,0.7420212765957447,0.6175197897541795,0.12450148684156512,0.04345178813251386,0.23517274505199504
28,Christian Dannemann Eriksen,Denmark,3,469,0.6673773987206824,0.5432054096964207,0.12417198902426159,0.04534115360296681,0.18239685590189292
29,Sofyan Amrabat,Morocco,7,705,0.5446808510638298,0.4213384304876388,0.12334242057619105,0.021763700398233967,0.2767377311761789
30,Daniel Olmo Carvajal,Spain,4,318,0.8962264150943396,0.77427802961098,0.12194838548335964,0.02404422058765802,0.2520546897870713
31,Granit Xhaka,Switzerland,4,565,0.6035398230088496,0.4848779809665413,0.11866184204230829,0.014440103149224056,0.19451741958528698
32,Jordan Brian Henderson,England,4,341,0.6744868035190615,0.5593639147577707,0.11512288876129095,-0.12209428199769759,0.2881601044924739
33,Federico Santiago Valverde Dipetta,Uruguay,3,387,0.648578811369509,0.5373156824892014,0.11126312888030761,0.05329826082910127,0.1851316314715122
34,Ivan Perišić,Croatia,7,464,0.8211206896551724,0.7134175065931889,0.10770318306198344,0.018410892626768132,0.21236171053487102
35,Achraf Hakimi Mouh,Morocco,7,554,0.6895306859205776,0.5824717843139207,0.1070589016066569,-0.03844507399914651,0.26456321523807363
36,Weston McKennie,United States,4,306,0.7254901960784313,0.6251673928555201,0.10032280322291126,-0.06905666080368077,0.2221237661184381
37,Carlos Henrique Casimiro,Brazil,4,574,0.6602787456445993,0.5658329647911255,0.09444578085347373,0.07854437211437046,0.10940143659739389
38,Otávio Edmilson da Silva Monteiro,Portugal,3,303,0.6732673267326733,0.5790420960628053,0.09422523066986793,0.07119359257577931,0.1335488999986145
39,Remo Freuler,Switzerland,4,302,0.6158940397350994,0.5281425846530868,0.08775145508201251,-0.05525907109222077,0.3209593342341303
40,Hidemasa Morita,Japan,3,371,0.6118598382749326,0.5432374195638452,0.06862241871108744,-0.0308093772166465,0.46835313864265826
41,Ousmane Dembélé,France,7,309,0.8090614886731392,0.7453025984036643,0.06375889026947495,-0.052650884246527016,0.22133486088592075
42,Marcelo Brozović,Croatia,6,1237,0.5675020210185934,0.5042047965700152,0.06329722444857813,-0.006585571249177843,0.134537658280591
43,Salis Abdul Samed,Ghana,3,328,0.551829268292683,0.49341137347808506,0.05841789481459783,-0.023075594267659885,0.1870525865822059
44,Luka Modrić,Croatia,7,1186,0.5708263069139966,0.5165089640905765,0.05431734282342027,-0.00533078458264535,0.13556140596740704
45,Adrien Rabiot,France,6,643,0.6531881804043546,0.6083378620006592,0.04485031840369547,-0.030457408873545897,0.15455308948623325
46,Bruno Miguel Borges Fernandes,Portugal,4,495,0.6444444444444445,0.5997174759026258,0.044726968541818714,-0.0024768923146472025,0.10314899217693761
47,Joshua Kimmich,Germany,3,551,0.5970961887477314,0.554275145262205,0.04282104348552636,-0.17324273781806246,0.6268115629148825
48,Bernardo Mota Veiga de Carvalho e Silva,Portugal,5,629,0.5691573926868044,0.5555488316797287,0.013608561007075802,-0.042543924759017075,0.1095932470539187
49,Lucas Tolentino Coelho de Lima,Brazil,4,456,0.668859649122807,0.6622662706202517,0.00659337850255535,-0.05575935678963038,0.07307268484705774
50,Nampalys Mendy,Senegal,4,348,0.5373563218390804,0.5353722863084367,0.001984035530643825,-0.0819669800750988,0.1474344951419178
51,Declan Rice,England,5,741,0.47638326585695007,0.47593980554316745,0.00044346031378261134,-0.07543794584257671,0.09393653207752782
52,Yunus Dimoara Musah,United States,4,387,0.5736434108527132,0.5771967647200987,-0.0035533538673855457,-0.07054359485087702,0.050602308236091235
53,Saša Lukić,Serbia,3,395,0.4860759493670886,0.49505203949486404,-0.00897609012777537,-0.07106641334629403,0.10303086765704778
54,In-Beom Hwang,South Korea,4,551,0.5553539019963702,0.5707977404793576,-0.015443838482987438,-0.07357165933339557,0.11314283822037177
55,Wataru Endo,Japan,4,443,0.5191873589164786,0.5452319841633383,-0.026044625246859725,-0.20588314694317328,0.26389561001413453
56,Tyler Adams,United States,4,583,0.4716981132075472,0.4993210005590142,-0.027622887351467004,-0.061768146964766325,0.004470821563934275
57,Rodrigo Javier De Paul,Argentina,7,1205,0.5286307053941909,0.5723546288387105,-0.043723923444519544,-0.18707211549827657,0.11695214683162819
58,Abdelkarim Hassan Al Haj Fadlalla,Qatar,3,330,0.396969696969697,0.44103697866261116,-0.04406728169291427,-0.14205712284473845,0.10025149679492411
59,İlkay Gündoğan,Germany,3,395,0.5468354430379747,0.5942391246605774,-0.047403681622602695,-0.1981708174871412,0.5548541337555577
60,Pierre-Emile Højbjerg,Denmark,3,484,0.44008264462809915,0.48921328911341927,-0.04913064448532009,-0.14213091593324267,0.02240139610061302
61,Enzo Fernandez,Argentina,7,1114,0.4488330341113106,0.49968878033795094,-0.0508557462266404,-0.1670942935457378,0.05844517388756481
62,Youssouf Sabaly,Senegal,4,323,0.5263157894736842,0.5832936876567477,-0.05697789818306355,-0.17425976835839557,0.10146794204290585
63,William Silva de Carvalho,Portugal,4,389,0.42930591259640105,0.4869506915612858,-0.05764477896488485,-0.09389602369000558,0.008254830044936197
64,Pedro González López,Spain,4,1075,0.5172093023255814,0.5863856713004072,-0.06917636897482579,-0.18601247608562665,0.12623341949274522
65,Woo-Young Jung,South Korea,4,432,0.4212962962962963,0.4925099333979492,-0.07121363710165289,-0.16128056083716413,0.02272812217975887
66,Jhegson Sebastián Méndez Carabalí,Ecuador,2,327,0.3149847094801223,0.4004402631533275,-0.08545555367320518,-0.17446541060119639,0.030507992324529845
67,Axel Witsel,Belgium,3,383,0.370757180156658,0.4616919341683856,-0.09093475401172765,-0.15657433438990126,0.026929880845484613
68,Boualem Khoukhi,Qatar,3,397,0.24181360201511334,0.34125045183222863,-0.09943684981711537,-0.1426559037017636,-0.05342737645010564
69,Antonee Robinson,United States,4,327,0.4525993883792049,0.556647935146852,-0.1040485467676471,-0.163719612563697,-0.021549607845881544
70,Aurélien Djani Tchouaméni,France,7,1097,0.390154968094804,0.4959810270077949,-0.1058260589129909,-0.17196057576012613,-0.011891271386705224
71,Marcos Javier Acuña,Argentina,6,320,0.484375,0.5914961363046626,-0.10712113630466262,-0.28126262476378733,0.14235271278601808
72,Harry Souttar,Australia,4,315,0.30158730158730157,0.41396867994385295,-0.11238137835655136,-0.16464518900199673,0.03959340422031992
73,Borna Sosa,Croatia,5,349,0.4469914040114613,0.5714211241521331,-0.12442972014067172,-0.23187239396276477,0.020933609750905757
74,Rúben Diogo Da Silva Neves,Portugal,5,594,0.3282828282828283,0.4584999046442738,-0.13021707636144558,-0.21159779978865795,-0.048274697447608685
75,Sergino Dest,United States,4,355,0.39154929577464787,0.5411624219931414,-0.14961312621849351,-0.28936483641184424,0.04138087771241917
76,Nico Elvedi,Switzerland,2,311,0.2508038585209003,0.4031438280502798,-0.1523399695293795,-0.17870736039306664,-0.12900882367423816
77,Cristian Gabriel Romero,Argentina,7,693,0.2582972582972583,0.41406941631930094,-0.15577215802204264,-0.25815759367701874,-0.030131641996525578
78,Kalidou Koulibaly,Senegal,4,367,0.25340599455040874,0.41061895514448676,-0.15721296059407805,-0.2664288995552152,-0.001985717692456415
79,Leandro Daniel Paredes,Argentina,5,552,0.28804347826086957,0.4466337872481609,-0.15859030898729135,-0.20447709216362397,-0.08789800556882786
80,Felix Eduardo Torres Caicedo,Ecuador,3,400,0.25,0.41061850091748936,-0.16061850091748944,-0.21661457128669498,-0.13593905135079956
81,Chris Mepham,Wales,3,373,0.28150134048257375,0.4438298364418796,-0.16232849595930596,-0.19157907246774902,-0.13612889869777264
82,Luke Shaw,England,5,498,0.41566265060240964,0.582613794026619,-0.1669511434242093,-0.23189506135334811,-0.06769658021464518
83,Romain Saïss,Morocco,6,338,0.20414201183431951,0.3739845957283584,-0.1698425838940389,-0.2882167314396768,-0.03479808961768665
84,Manuel Obafemi Akanji,Switzerland,4,520,0.24423076923076922,0.417148747866171,-0.17291797863540181,-0.2019040757034817,-0.13913962902531393
85,Josip Juranović,Croatia,6,477,0.3584905660377358,0.5390744074909715,-0.18058384145323558,-0.25998014913440154,-0.11232636904467383
86,Daley Blind,Netherlands,5,359,0.415041782729805,0.597605891519201,-0.18256410878939594,-0.2880320143216615,0.004730212779214164
87,Maya Yoshida,Japan,4,471,0.22717622080679406,0.412319214964512,-0.18514299415771798,-0.29485892425501353,0.04002405337473438
88,João Pedro Cavaco Cancelo,Portugal,4,433,0.39260969976905313,0.5786998955550081,-0.186090195785955,-0.26021234312808045,-0.1178586757434
89,Joe Rodon,Wales,3,355,0.16901408450704225,0.3567899395892536,-0.1877758550822113,-0.2165963502385916,-0.13012985746025058
90,Timothy Castagne,Belgium,3,327,0.3180428134556575,0.5069440915929084,-0.18890127813725088,-0.24767783975927832,-0.016309989150430488
91,Rúben Santos Gato Alves Dias,Portugal,4,511,0.20156555772994128,0.3982978939018419,-0.19673233617190058,-0.2330517514872118,-0.10550628816097929
92,John Stones,England,5,1056,0.20928030303030304,0.4075812088943038,-0.19830090586400084,-0.23485519388370948,-0.1657157140909011
93,Theo Bernard François Hernández,France,6,361,0.3545706371191136,0.5549156166482743,-0.20034497952916064,-0.280645109684489,-0.09063894434369493
94,Joško Gvardiol,Croatia,7,1077,0.20612813370473537,0.4070759340706518,-0.20094780036591633,-0.24828447148611152,-0.13873952045498777
95,Harry Maguire,England,5,829,0.218335343787696,0.419334927623531,-0.20099958383583494,-0.2311158668807012,-0.17785515259088214
96,Éder Gabriel Militão,Brazil,4,479,0.33402922755741127,0.5356195440521896,-0.2015903164947783,-0.3060491282312745,-0.12861731680651678
97,Marcos Aoás Corrêa,Brazil,5,729,0.23868312757201646,0.4468789580709926,-0.2081958304989762,-0.2482639009846174,-0.17822591950018615
98,Nahuel Molina Lucero,Argentina,7,454,0.3524229074889868,0.5613116621574279,-0.20888875466844123,-0.3465021395644677,-0.005411858435505975
99,Dejan Lovren,Croatia,6,913,0.1982475355969332,0.4083472580066831,-0.21009972240974992,-0.22759774438776723,-0.18613763275737452
100,Yassine Meriah,Tunisia,3,301,0.24584717607973422,0.4563604006893841,-0.21051322460964994,-0.23952306809927396,-0.15298680821399974
101,Kye Rowles,Australia,4,344,0.16569767441860464,0.3785125450696541,-0.21281487065104948,-0.28259732619578326,-0.08243971985633188
102,Tim Ream,United States,4,583,0.19039451114922812,0.4045752663653145,-0.21418075521608634,-0.2781353221656129,-0.1435305837844794
103,Jules Koundé,France,6,414,0.2922705314009662,0.5081564838558779,-0.21588595245491163,-0.26669358265315624,-0.17437150030798548
104,Raphaël Varane,France,6,583,0.20240137221269297,0.4221662970580354,-0.21976492484534244,-0.2666355183708784,-0.1623789854493757
105,Héctor Alfredo Moreno Herrera,Mexico,3,332,0.21385542168674698,0.43875922154846136,-0.22490379986171438,-0.2510044821789676,-0.19524508333612506
106,Nathan Aké,Netherlands,5,723,0.2074688796680498,0.43334022237309033,-0.22587134270504053,-0.3020296772874492,-0.14008121874897422
107,Kléper Laveran Lima Ferreira,Portugal,4,542,0.22878228782287824,0.4557919601901376,-0.22700967236725944,-0.2944878725161543,-0.17154118070318164
108,Nayef Aguerd,Morocco,4,304,0.19078947368421054,0.41788750095214805,-0.2270980272679375,-0.28470618119633606,-0.16307570857230866
109,Toby Alderweireld,Belgium,3,571,0.14535901926444833,0.3736359602282056,-0.22827694096375728,-0.2872547795420625,-0.1925917523431584
110,Virgil van Dijk,Netherlands,5,606,0.16996699669966997,0.3983085546455198,-0.22834155794584982,-0.2916700965122081,-0.1680111804113855
