player,team,minutes,key_passes,xa,xgchain,xgbuildup,assists,xa_per_kp,kp_total
Martin Braithwaite Christensen,Barcelona,1058,0.6802399735462233,0.12850140436487317,1.0592730528886578,0.49407019111908934,2,0.188905988125,8
Sergio Busquets i Burgos,Barcelona,2435,1.071802558363961,0.10808752820154813,1.1238595518621024,1.0006348768893087,5,0.10084649206896552,29
Jordi Alba Ramos,Barcelona,3057,1.4718468407080123,0.2194641086103039,1.1871794681410575,0.8083085596452302,3,0.14910797954,50
Gerard Piqué Bernabéu,Barcelona,1570,0.11468255232391451,0.039731185371603334,0.9015056397056483,0.8264984063521393,0,0.3464449,2
Ousmane Dembélé,Barcelona,1646,1.6946750354322735,0.21338661276371734,1.1164508452929738,0.5961148791459809,3,0.12591594748387097,31
Antoine Griezmann,Barcelona,2467,1.4591143986219473,0.19207451610902823,1.183276613448576,0.5388128545157564,8,0.131637736075,40
Samuel Yves Umtiti,Barcelona,546,0.0,0.0,1.0712401807089855,1.049983477328936,0,,0
Lionel Andrés Messi Cuccittini,Barcelona,3214,2.1561245760866177,0.2682778641968202,1.5815007994729469,0.7330060717591239,10,0.12442595718831168,77
Clément Lenglet,Barcelona,2617,0.24072293299878358,0.018332071703592374,1.077719143435205,1.0056849743394445,0,0.07615423871428573,7
Miralem Pjanić,Barcelona,600,1.6495876030992254,0.12852898920269934,1.410598660024994,1.0916734944263935,0,0.0779158311818182,11
Frenkie de Jong,Barcelona,3075,1.405022739469105,0.14512283468433063,1.2089329741743595,0.8788268652731714,3,0.10328860210416668,48
Marc-André ter Stegen,Barcelona,2770,0.0,0.0,0.436809455150133,0.4313062528688053,0,,0
Sergino Dest,Barcelona,1880,1.053340899418357,0.10727575985600793,1.116764131057597,0.916190134393176,1,0.10184334427272726,22
Francisco António Machado Mota de Castro Trincão,Barcelona,710,0.8870116156282999,0.08752645799366421,1.1466752066230204,0.7274674525786696,2,0.09867566157142858,7
Pedro González López,Barcelona,2347,1.2656250000000002,0.13877729114062504,1.340593467836932,1.0233739000585231,3,0.109651193,33
Óscar Mingueza García,Barcelona,1779,0.40481277409198235,0.04524831681097492,1.034622295513325,0.9282004279545709,2,0.1117759115,8
Ronald Federico Araújo da Silva,Barcelona,1318,0.06826974133353562,0.003409894712887811,0.8538375273534097,0.715095703929303,0,0.04994738,1
Ricard Puig Martí,Barcelona,291,0.9265614275909402,0.034792007892930674,1.4170135487645845,1.3428650103294442,0,0.037549596666666664,3
Moriba Kourouma Kourouma,Barcelona,530,1.1877081631370576,0.14940455972475336,0.98564331056369,0.437157261635141,2,0.1257923152857143,7
Sergi Roberto Carnicer,Barcelona,1013,1.1545862732520848,0.15536595767503825,0.9438175160803275,0.7183282410519561,2,0.1345641822307692,13
Philippe Coutinho Correia,Barcelona,672,0.6699086939261613,0.10037913383783248,1.1308152006773526,0.40710786154227874,2,0.14984002259999998,5
Norberto Murara Neto,Barcelona,580,0.0,0.0,0.6837314631693927,0.6837314631693927,0,,0
Anssumane Fati,Barcelona,452,1.7901211831006667,0.27464106798040444,1.16332534394637,0.5634803699436443,0,0.15342037766666666,9
