,player,team,n,actual,value,ci_low,ci_high
1,Gerard Piqué Bernabéu,Barcelona,50,3.2,1.1854265786995786,0.6196656251895185,1.8113639001652715
2,Clément Lenglet,Barcelona,98,2.4693877551020407,0.9026785463471684,0.620507614960409,1.2670254037066893
3,Ronald Federico Araújo da Silva,Barcelona,42,2.619047619047619,0.894639323841159,0.4346952094829968,1.4752524688095257
4,Sergio Busquets i Burgos,Barcelona,142,1.5070422535211268,0.4880543845126569,0.2268954477028869,0.8254780187315945
5,Óscar Mingueza García,Barcelona,60,1.7,0.4289490562250682,0.11437925607084443,0.8393679430139189
6,Martin Braithwaite Christensen,Barcelona,189,1.9947089947089947,0.10124714052783149,-0.0945596694588053,0.27972132695341645
7,Frenkie de Jong,Barcelona,299,1.4682274247491638,0.07345329376025748,-0.06155940907872019,0.21598512251388982
8,Lionel Andrés Messi Cuccittini,Barcelona,279,1.2186379928315412,0.001564669915959542,-0.1481628423612534,0.15973462419427184
9,Anssumane Fati,Barcelona,41,1.6829268292682926,-0.04027928126291606,-0.40159010435096304,0.19696232628268837
10,Miralem Pjanić,Barcelona,48,0.5833333333333334,-0.0851169701601664,-0.38277776811502073,0.20988120647187578
11,Sergi Roberto Carnicer,Barcelona,77,0.922077922077922,-0.08693075127702163,-0.36317854618698,0.24305757767351743
12,Pedro González López,Barcelona,288,1.0798611111111112,-0.09008117963387646,-0.19904139616745317,0.020850871518261396
13,Moriba Kourouma Kourouma,Barcelona,53,1.2452830188679245,-0.1005314222940384,-0.42720202609792585,0.2564492877022971
14,Philippe Coutinho Correia,Barcelona,70,1.2285714285714286,-0.11706977798442476,-0.3948605801854349,0.12431989875686836
15,Ousmane Dembélé,Barcelona,181,1.0607734806629834,-0.1301703454117897,-0.29793067074731455,0.026025408363600375
16,Ricard Puig Martí,Barcelona,34,0.9117647058823529,-0.14942099543619136,-0.5208996883718638,0.15955162791711083
17,Antoine Griezmann,Barcelona,309,1.4239482200647249,-0.15770051704281174,-0.28573651457912047,-0.02622698688462357
18,Francisco António Machado Mota de Castro Trincão,Barcelona,110,1.0636363636363637,-0.22321700455761445,-0.4086049705116534,-0.0073909077838710925
19,Sergino Dest,Barcelona,161,0.42857142857142855,-0.33387004901869255,-0.4448473850470011,-0.20491875670420875
20,Jordi Alba Ramos,Barcelona,256,0.28515625,-0.3504183256627412,-0.4049380541389865,-0.29019383846404667
