,player,team,matches,actions,actual,expected,gravity,ci_low,ci_high
1,Martin Braithwaite Christensen,Barcelona,26,618,1.2944983818770226,0.9179507662545104,0.37654761562251227,0.2487862270644932,0.5112707587830334
2,Lionel Andrés Messi Cuccittini,Barcelona,35,6183,1.0808668930939673,0.7652265253827443,0.315640367711223,0.2757538841678173,0.3547960864921767
3,Anssumane Fati,Barcelona,7,493,1.0081135902636917,0.7988190086249919,0.20929458163869974,0.15245638777513867,0.2864867613527762
4,Antoine Griezmann,Barcelona,33,2928,1.0027322404371584,0.8306202881304081,0.17211195230675033,0.11518040261480374,0.23094848899271286
5,Pedro González López,Barcelona,35,4059,0.858339492485834,0.7110632947908389,0.14727619769499511,0.08734148137320542,0.20788962864974736
6,Philippe Coutinho Correia,Barcelona,11,1275,0.8831372549019608,0.7447006815545739,0.13843657334738693,0.0807230316569158,0.2060243192483757
7,Francisco António Machado Mota de Castro Trincão,Barcelona,25,809,0.934487021013597,0.8058478222292325,0.1286391987843646,0.05353803330297944,0.20799203266325825
8,Daniel Parejo Muñoz,Villarreal,2,303,0.693069306930693,0.5765777387231352,0.11649156820755784,0.0015593957460152477,0.2653809734418289
9,Ousmane Dembélé,Barcelona,27,1995,0.8696741854636592,0.781386361348619,0.08828782411504014,0.01259828379667866,0.1679165483856346
10,Ricard Puig Martí,Barcelona,11,780,0.7410256410256411,0.6593601752380708,0.08166546578757011,0.02848344356880187,0.17919469612684588
11,Moriba Kourouma Kourouma,Barcelona,13,847,0.7638724911452184,0.7005516448676816,0.06332084627753679,-0.0005466093812469651,0.12263483313047634
12,Joan Jordán Moreno,Sevilla,2,310,0.6290322580645161,0.5674444320839216,0.06158782598059444,-0.03517629732864394,0.1523041915830054
13,Miralem Pjanić,Barcelona,17,1519,0.6398946675444371,0.649538171094707,-0.009643503550269848,-0.10352169177858059,0.08085738052582318
14,Jorge Resurrección Merodio,Atlético Madrid,2,310,0.5516129032258065,0.5742839851472777,-0.022671081921471378,-0.08134329995278075,0.029561502423474766
15,Frenkie de Jong,Barcelona,34,5654,0.5923240183940574,0.6361640155354926,-0.04383999714143523,-0.09268279574205662,0.008117367666751226
16,Sergio Busquets i Burgos,Barcelona,33,5524,0.5711440984793628,0.6353887349062163,-0.06424463642685352,-0.11883187979957685,-0.004591634098323204
17,Sergino Dest,Barcelona,28,1915,0.5060052219321148,0.7003695695567334,-0.19436434762461852,-0.25874714663175624,-0.1213475868153839
18,Sergi Roberto Carnicer,Barcelona,15,1608,0.46828358208955223,0.6647994051167758,-0.1965158230272237,-0.2653695818434375,-0.10722195005800794
19,Jules Koundé,Sevilla,2,318,0.3238993710691824,0.54059061439191,-0.21669124332272763,-0.28284654240773055,-0.10148977422642941
20,Marc-André ter Stegen,Barcelona,29,1107,0.0984643179765131,0.34973373831746607,-0.25126942034095295,-0.2784728491247909,-0.22647926251123043
21,Jordi Alba Ramos,Barcelona,33,4762,0.4145317093658127,0.7092294626368577,-0.2946977532710451,-0.32565088769769873,-0.2587740884729442
22,Ronald Federico Araújo da Silva,Barcelona,21,1322,0.2329803328290469,0.560601305708215,-0.32762097287916797,-0.36613827872223764,-0.2898434082686105
23,Gerard Piqué Bernabéu,Barcelona,18,2063,0.23412506059137178,0.5666154851108846,-0.3324904245195127,-0.37401077698235935,-0.29148785430605784
24,Samuel Yves Umtiti,Barcelona,11,773,0.2069857697283312,0.543053332986838,-0.33606756325850684,-0.3724158855160191,-0.29412827096772015
25,Óscar Mingueza García,Barcelona,24,2671,0.2736802695619618,0.6109449185613162,-0.3372646489993544,-0.3695180870690759,-0.30481208629474776
26,Clément Lenglet,Barcelona,32,4055,0.2029593094944513,0.5987192526922834,-0.39575994319783214,-0.42307330986497554,-0.36611642529977306
