player,team,n,difficulty,cae
Martin Braithwaite Christensen,Barcelona,219,0.17144757011939932,-0.02033325179840892
Lionel Andrés Messi Cuccittini,Barcelona,2078,0.16896594329335374,0.014971718076799357
Ousmane Dembélé,Barcelona,814,0.156552518161255,-0.015437653828916993
Jordi Alba Ramos,Barcelona,2418,0.14883534890671854,-0.005010804939435292
Francisco António Machado Mota de Castro Trincão,Barcelona,328,0.1468847922247733,-0.02994447606790965
Anssumane Fati,Barcelona,181,0.1446703857210196,-0.004500884997212431
Antoine Griezmann,Barcelona,1127,0.1297657127559154,0.011753290395666945
Philippe Coutinho Correia,Barcelona,463,0.12178565698062108,0.007314814648007699
Sergino Dest,Barcelona,1021,0.11815620681753637,0.006500966856713662
Marc-André ter Stegen,Barcelona,685,0.11309396627620885,0.012364039268909586
Sergi Roberto Carnicer,Barcelona,776,0.11098808367657548,0.006606640377606408
Pedro González López,Barcelona,1520,0.10782784724856216,-0.01848794222512206
Miralem Pjanić,Barcelona,618,0.10125927019968702,0.020353121332373096
Sergio Busquets i Burgos,Barcelona,2285,0.0946239754531094,0.012785901054859938
Frenkie de Jong,Barcelona,2429,0.09390547812296392,0.012802143417323733
Óscar Mingueza García,Barcelona,1317,0.08461453252044458,0.011721594023861439
Moriba Kourouma Kourouma,Barcelona,308,0.08132688446684883,0.0001580532980176495
Ricard Puig Martí,Barcelona,288,0.07858194378185013,-0.008223611773705428
Clément Lenglet,Barcelona,2018,0.07757107179083031,0.011664233336915545
Gerard Piqué Bernabéu,Barcelona,1129,0.06821835144150862,0.00887379874000286
Ronald Federico Araújo da Silva,Barcelona,680,0.06300823918209117,0.004184709770326462
Samuel Yves Umtiti,Barcelona,423,0.05695930890818852,0.00967798503111996
