,lead,lead,lead,lead,lead_fwd,lead_fwd,lead_fwd,lead_fwd,open_pass,open_pass,open_pass,open_pass,open_rec,open_rec,open_rec,open_rec,gain,gain,gain,gain,speed,speed,speed,speed
,n,value,ci_low,ci_high,n,value,ci_low,ci_high,n,value,ci_low,ci_high,n,value,ci_low,ci_high,n,value,ci_low,ci_high,n,value,ci_low,ci_high
player,,,,,,,,,,,,,,,,,,,,,,,,
Theo Bernard François Hernández,124,0.8222655911458419,0.46818861842025383,1.184837370940686,124,-0.6238855666144048,-1.3153520705931134,0.1482418917705879,81.0,0.1413172852357892,0.04733042178371332,0.21229773357592888,92.0,0.2685478522521299,0.12115111230866585,0.3653038045273099,,,,,124,-0.850696702631178,-1.3901685696188173,-0.36202029822285436
Ivan Perišić,86,0.6188063190189023,0.2136496183966066,1.092364545896999,86,0.6928300142253742,0.24946237753581663,1.2319179423251854,,,,,,,,,,,,,86,-0.5116986386342426,-1.1095462642428735,0.09849271000977876
Pierre-Emile Højbjerg,102,0.5680988860193817,-0.2129968011686669,1.3936412331240127,102,0.47900806865276896,0.061790803229326015,0.7452602844086565,,,,,88.0,0.07329268826109653,-0.07991475282694531,0.14733414325714012,,,,,102,-0.3590009927697885,-0.8727534401396552,-0.009704364368526527
Moon-Hwan Kim,90,0.45942446874722415,-0.36896525559004817,1.0451502168067979,90,-0.6072867485123727,-1.2938400774469094,-0.2974383177349591,,,,,,,,,,,,,90,-0.4756584169960751,-1.0814779110199895,0.6223894159222696
Christian Dannemann Eriksen,94,0.43630056376856063,0.025663979813375568,0.8890433660117971,94,0.4795054402081555,-0.099361095774579,1.0086979573820973,,,,,,,,,,,,,94,-0.442339208381911,-1.4024651662744272,0.3013567586523489
César Azpilicueta Tanco,99,0.37678099768070017,0.20070826193004848,0.6060850256350372,99,-1.4284760313830425,-1.4781890090085188,-1.3903035664206225,,,,,,,,,,,,,99,0.5561307713596654,0.3854760412546214,0.6871692248331814
Yunus Dimoara Musah,87,0.3735661250819885,-0.0952471041503536,0.7914213946151629,87,-0.08203585337646654,-1.2827651478999225,1.179212721013911,,,,,,,,,,,,,87,-0.7990742968765011,-1.4111477978753137,0.2338482255193143
İlkay Gündoğan,85,0.31631557227355445,-0.6186123307958525,0.5094598215409918,85,0.34781354142637705,-1.3328844705231793,0.8350806172063878,,,,,,,,,,,,,85,-0.005158335674750807,-1.1167951729134111,0.611096821771255
Woo-Young Jung,86,0.3131737692109369,-0.19397578509550364,0.9436346322202634,86,-0.4202016312370531,-0.7960842759580534,0.12267101030631272,,,,,,,,,,,,,86,-1.1204415492221953,-1.4963702837569708,-0.797206377438103
