player,team,n,difficulty,cae
Ivan Perišić,Croatia,232,0.2700863784047995,-0.0230170698710626
Kylian Mbappé Lottin,France,196,0.2605676711928144,0.05648603853975317
Antonee Robinson,United States,175,0.2442458026505018,-0.007182768778069629
Borna Sosa,Croatia,208,0.22294978953666345,0.0066036356905096166
Hakim Ziyech,Morocco,235,0.22274622028262697,-0.03257292865354325
Ousmane Dembélé,France,163,0.21153957437820456,0.009085586648143221
Kalidou Koulibaly,Senegal,159,0.20986053349268846,-0.00397594449473291
Aaron Mooy,Australia,187,0.20525692347854968,0.012743554494592411
Lionel Andrés Messi Cuccittini,Argentina,291,0.20489008256649785,0.060560185659281354
Bruno Miguel Borges Fernandes,Portugal,165,0.20397710499207036,0.07064377165873706
Youssouf Sabaly,Senegal,160,0.20362130020602082,0.04112130020602077
Josip Juranović,Croatia,274,0.19210224546376156,0.013270128675440387
Achraf Hakimi Mouh,Morocco,258,0.18868800817410286,0.006517465538443965
In-Beom Hwang,South Korea,216,0.18770323649846046,-0.01137083757561362
Romain Saïss,Morocco,157,0.18519637676750658,0.006852427722920562
Moon-Hwan Kim,South Korea,169,0.18356193770516166,0.04155010338563502
João Pedro Cavaco Cancelo,Portugal,203,0.17675569381164183,0.014194117456961985
Jakub Piotr Kiwior,Poland,167,0.17271514057813656,0.011038493871549747
Daniel Olmo Carvajal,Spain,158,0.17033874737627622,-0.006876442497141511
Felix Eduardo Torres Caicedo,Ecuador,181,0.16927251660675788,-0.04067223477445761
Federico Santiago Valverde Dipetta,Uruguay,165,0.16858041648370456,-0.0011165532132651058
Wataru Endo,Japan,170,0.1677350181808916,-0.01461792299557899
Thomas Teye Partey,Ghana,164,0.16528848771576532,0.012849463325521431
Young-Gwon Kim,South Korea,180,0.16285179191374569,0.018407347469301245
Joachim Andersen,Denmark,200,0.16199325381489982,-0.023006746185100214
Jules Koundé,France,202,0.16154463929794885,0.02788127296131518
Nahuel Molina Lucero,Argentina,240,0.16093036065170743,-0.02240297268162593
Carlos Henrique Casimiro,Brazil,233,0.16010317162915103,0.0013048883673484283
Luke Shaw,England,307,0.15720405532810872,0.013881579758076136
Daley Blind,Netherlands,237,0.15579960643826685,0.029217327957254187
Christian Dannemann Eriksen,Denmark,174,0.15380930655196776,0.04461390425311718
Yassine Meriah,Tunisia,154,0.15279163377784524,-0.029026548040336567
Luka Modrić,Croatia,462,0.15271216791252748,0.029335544535904104
César Jasib Montes Castro,Mexico,154,0.15106389810638324,-0.004780257737772617
Steven de Sousa Vitoria,Canada,165,0.14600318931207795,0.024791068099956747
Joshua Kimmich,Germany,215,0.14528154948231478,0.052258293668361294
Yunus Dimoara Musah,United States,161,0.14469727736115442,-0.016793405868659236
Adrien Rabiot,France,251,0.1421533501719129,0.014663310331275471
Antoine Griezmann,France,250,0.14114814174208273,0.005148141742082744
Kye Rowles,Australia,161,0.14103402110727364,-0.0018231217498692026
Lucas Tolentino Coelho de Lima,Brazil,172,0.14081352836951766,0.007092598136959536
Azzedine Ounahi,Morocco,235,0.13749666426319299,-0.0242054633963815
Rodrigo Javier De Paul,Argentina,455,0.1372487858429173,-0.020992972398840952
Héctor Alfredo Moreno Herrera,Mexico,150,0.13684438542874247,0.016844385428742448
Theo Bernard François Hernández,France,210,0.13655812408694012,0.017510505039321108
Kléper Laveran Lima Ferreira,Portugal,240,0.13423379863604043,-0.0032662013639595394
Granit Xhaka,Switzerland,199,0.1342256219237707,0.008597481220253096
Boualem Khoukhi,Qatar,167,0.1321435980628939,-0.005580952835309688
Jordi Alba Ramos,Spain,293,0.1310477662457323,0.004767902764503634
Piero Martín Hincapié Reyna,Ecuador,179,0.12985589289130312,0.0013642727795712627
Cristian Gabriel Romero,Argentina,306,0.12929445105467616,0.01818333994356504
Timothy Castagne,Belgium,153,0.12845424912422143,0.004271242588273734
Bernardo Mota Veiga de Carvalho e Silva,Portugal,242,0.1265157177485315,0.014945469814647172
Manuel Obafemi Akanji,Switzerland,198,0.12639988808036717,0.015288776969256103
Sofyan Amrabat,Morocco,276,0.1239861477803266,-0.03181095366894877
Jude Bellingham,England,249,0.1236623436298415,0.0031804159189981517
Éder Gabriel Militão,Brazil,198,0.12259198859907475,0.04178390779099394
Woo-Young Jung,South Korea,179,0.11944384809540613,-0.025807548552638542
Harry Maguire,England,344,0.11895209478646346,-0.006047905213536538
Pierre-Emile Højbjerg,Denmark,198,0.11860813822261757,0.01759803721251655
Enzo Fernandez,Argentina,404,0.11800182120134352,0.0041404350627296605
Frenkie de Jong,Netherlands,332,0.11752368230204209,0.021138140133367376
Danilo Luiz da Silva,Brazil,211,0.11674573104565995,-0.011216354262396934
Min Jae Kim,South Korea,174,0.11596087634598232,-0.004728778826431487
İlkay Gündoğan,Germany,150,0.11117902156829224,0.017845688234958912
Tyler Adams,United States,234,0.11045317256783513,0.020709582824245395
Sergio Busquets i Burgos,Spain,259,0.10856119332641428,0.01975810452332547
Marcelo Brozović,Croatia,471,0.10668858345352672,-0.0015916713235433323
Dejan Lovren,Croatia,384,0.10657045411885939,0.00240378745219273
Alexis Mac Allister,Argentina,237,0.1065445707374728,0.01371756651806352
Virgil van Dijk,Netherlands,276,0.10578188787503506,-0.006536952704675074
Tim Ream,United States,238,0.10482345936376436,-0.0002185574429583294
Niklas Süle,Germany,215,0.1043723099954981,0.03925603092573066
Jan Vertonghen,Belgium,216,0.10399944263945782,0.011406850046865211
Joško Gvardiol,Croatia,448,0.10363509120413823,0.009885091204138236
Dayotchanculle Upamecano,France,293,0.1033848649692944,0.01464766360410669
Maya Yoshida,Japan,211,0.10154617297892496,0.006759443121105038
