,passer,team,passes,matches,bonus_opp,ci_low,ci_high,bonus_near,near_ci_low,near_ci_high,exp_near
1,Theo Bernard François Hernández,France,160,6,0.18352285995304718,0.08583178860940903,0.2424382260918425,0.23424577196847257,0.10901909647696145,0.3129397013603663,4.304733065921499
2,Bernardo Mota Veiga de Carvalho e Silva,Portugal,182,5,0.18105845093367742,0.15148743954447505,0.2501794691625679,0.3241601926192251,0.2411473014353007,0.4254621772883259,4.364316443692415
3,Aymeric Laporte,Spain,298,3,0.11687159977760665,0.02420840153441148,0.215768827083481,0.17281869851350962,-0.03585605832925937,0.3567085370265654,4.60098053202798
4,Rúben Santos Gato Alves Dias,Portugal,170,4,0.09997896271679439,0.06968260999111714,0.13804480764659766,0.186743711316194,0.09609201284418196,0.2423209973525435,4.6280762358296
5,Jan Vertonghen,Belgium,152,3,0.09367839648775694,-0.023985456168609136,0.1289207924638504,0.19525894075558237,-0.05537339603866816,0.2730255784833252,4.669269961529249
6,Antonio Rüdiger,Germany,171,3,0.07782799020443311,-0.09914420996206912,0.1812525749731437,0.16920717238997907,-0.20757725444784403,0.3718806410725111,4.605440879636655
7,Tyler Adams,United States,154,4,0.07758734651592565,0.022962844146742704,0.18944288914342214,0.03937168997088049,-0.09612669105982118,0.2556169446946135,4.445413466866247
8,Toby Alderweireld,Belgium,160,3,0.07372482921330559,0.010672081275931155,0.15618786932581485,0.1535704180821826,0.08174118363405619,0.23730057052189624,4.656719373344148
9,Rúben Diogo Da Silva Neves,Portugal,158,5,0.07067871309415942,0.039370091567029274,0.11952663926079861,0.10426942878168116,0.02343439087753333,0.19909271179973562,4.546061118733794
10,Marcos Aoás Corrêa,Brazil,250,5,0.07007229768757983,-0.0008421808316311509,0.12769660070332517,0.07204147894313183,-0.09698419274951467,0.18059364268146952,4.583999938029407
11,Andreas Christensen,Denmark,151,3,0.0674101299278262,0.03709031911570728,0.10235752639355258,0.1910182310020811,0.11533787997455372,0.25444395298312944,4.626219896594951
12,Kléper Laveran Lima Ferreira,Portugal,164,4,0.06636086136100981,0.009173241053208487,0.11877504416371837,0.045201681642505306,-0.11020008596450434,0.16384174078334063,4.550310074187732
13,Rodrigo Hernández Cascante,Spain,473,4,0.06457305671264275,0.03524981966953996,0.09291103987581831,0.13695815714635323,0.10358858872274565,0.16409372586170234,4.559431147583377
14,Jordi Alba Ramos,Spain,220,4,0.06350140622325445,-0.08446277221863588,0.1822658820515819,0.08319513807751823,-0.21233505372833986,0.262868378308467,4.416241449403484
15,Declan Rice,England,189,5,0.057336658751539225,-0.04068060910384397,0.14512056468380027,0.03786901735978372,-0.1793430833821647,0.19837999778457374,4.505341054247413
16,Tim Ream,United States,167,4,0.056813848631434134,0.01705822417966563,0.09890936648209461,0.10238059088115241,-0.04962638789703622,0.2113595650927904,4.66677776201706
17,Raphaël Varane,France,159,6,0.0544749748844169,-0.015130757256522371,0.10421286495304448,0.054190624124690875,-0.1394752378006749,0.15932688664854733,4.617310624862847
18,Virgil van Dijk,Netherlands,213,5,0.05324914906207353,0.01638509113062556,0.0990248408063887,0.08943627298544157,-0.014028448927201734,0.18871939902672424,4.629380540435359
19,Dayotchanculle Upamecano,France,200,5,0.05074902851403168,0.006168985837377813,0.07069880320857465,0.09355461537352298,-0.001682092400308954,0.15144124009235893,4.595127804732919
20,Pedro González López,Spain,249,4,0.050071514657030136,0.007889677503317044,0.09197342426228801,0.04323628233660633,-0.05335301596065842,0.19459270853438201,4.367121304250129
21,Adrien Rabiot,France,155,6,0.04563400604373293,-0.07932108425693363,0.1601176929866153,0.09071512786796114,-0.08029137530103812,0.268296437526003,4.414750995677451
22,Nicolás Hernán Otamendi,Argentina,339,7,0.043042928859332606,-0.01519954763419592,0.09866892818773652,0.07800000225885392,-0.07700357578563324,0.22350796647713495,4.588230370716454
23,Alexis Mac Allister,Argentina,176,6,0.03937241181140269,-0.07306980758698968,0.12205112993426913,0.07289003417212689,-0.05801795177570291,0.21010585967888426,4.2578584841362925
24,Thiago Emiliano da Silva,Brazil,229,4,0.036775195780422,-0.040621372439578946,0.09410016527948553,0.01334455322453583,-0.1562039479714361,0.14584418709143795,4.554391203912357
25,Harry Maguire,England,205,5,0.03527032844428795,0.002648181422519529,0.06354035025774872,0.06300079996044061,-0.03466202599806657,0.15909558168067403,4.657540218902499
